client_id,first_name,last_name,city,phone,email
154-64-9693,Sarah,Garcia,Danielleborough,(622)537-2935x31417,sarah.garcia@gmail.com
148-49-3184,Lucas,Clark,Wendyfurt,+1-271-568-2657x84023,lucas.clark@gmail.com
488-22-2850,Mark,Nelson,Zamoraburgh,309-598-7241,mark.nelson@gmail.com
898-73-3339,Edward,King,Port Jeffreymouth,+1-035-807-5780,edward.king@gmail.com
830-11-8837,James,Camacho,Curtisborough,+1-459-922-7767x59844,james.camacho@gmail.com
574-92-3858,Amy,Phillips,Kimberlyland,+1-104-625-7936x560,amy.phillips@gmail.com
877-33-4462,Scott,Burns,East Saraport,(004)438-4375,scott.burns@gmail.com
431-25-4334,Elizabeth,Brown,Port Tyler,114.111.7527,elizabeth.brown@gmail.com
594-87-8512,Michael,Stephens,North Arthur,(357)296-5861x2781,michael.stephens@gmail.com
038-37-7264,Johnny,Smith,Port Kathleen,534.313.2507x2845,johnny.smith@gmail.com
