visit_id,client_id,therapist_id,service_id,visit_ts
0,830-11-8837,150-60-1665,3,"2022/05/21, 09:34:39"
1,898-73-3339,150-60-1665,1,"2022/02/11, 23:51:36"
2,154-64-9693,030-45-1969,0,"2022/03/23, 15:21:37"
3,148-49-3184,030-45-1969,1,"2022/03/09, 17:27:23"
4,148-49-3184,150-60-1665,3,"2022/05/08, 09:32:03"
5,594-87-8512,280-65-5827,2,"2022/02/09, 17:14:50"
6,038-37-7264,150-60-1665,4,"2022/01/08, 07:19:43"
7,431-25-4334,150-60-1665,3,"2022/03/03, 04:27:57"
8,038-37-7264,030-45-1969,4,"2022/01/20, 21:52:59"
9,898-73-3339,280-65-5827,1,"2022/04/25, 16:04:39"
10,488-22-2850,030-45-1969,1,"2022/02/16, 05:26:48"
11,574-92-3858,280-65-5827,0,"2022/05/13, 13:02:26"
12,574-92-3858,280-65-5827,1,"2022/06/26, 13:17:47"
13,830-11-8837,150-60-1665,2,"2022/06/09, 09:45:29"
14,431-25-4334,150-60-1665,2,"2022/03/27, 08:49:16"
15,148-49-3184,030-45-1969,4,"2022/02/19, 15:17:18"
16,594-87-8512,280-65-5827,4,"2022/05/13, 13:42:25"
17,574-92-3858,280-65-5827,0,"2022/03/25, 23:09:23"
18,594-87-8512,280-65-5827,2,"2022/04/10, 19:43:02"
19,830-11-8837,280-65-5827,0,"2022/01/07, 20:04:11"
20,488-22-2850,030-45-1969,1,"2022/03/17, 04:28:29"
21,038-37-7264,150-60-1665,1,"2022/06/18, 18:05:44"
22,877-33-4462,030-45-1969,0,"2022/01/24, 00:07:26"
23,574-92-3858,280-65-5827,2,"2022/05/22, 21:53:56"
24,148-49-3184,030-45-1969,0,"2022/04/20, 15:52:15"
25,488-22-2850,280-65-5827,4,"2022/02/22, 13:23:33"
26,574-92-3858,030-45-1969,4,"2022/03/26, 21:26:43"
27,148-49-3184,030-45-1969,2,"2022/04/10, 23:12:17"
28,148-49-3184,030-45-1969,3,"2022/04/17, 18:37:46"
29,488-22-2850,030-45-1969,0,"2022/05/07, 02:06:05"
30,898-73-3339,150-60-1665,3,"2022/02/16, 15:17:14"
31,898-73-3339,150-60-1665,4,"2022/03/17, 06:47:19"
32,877-33-4462,280-65-5827,3,"2022/02/15, 01:02:27"
33,594-87-8512,150-60-1665,4,"2022/01/02, 20:23:34"
34,488-22-2850,280-65-5827,1,"2022/01/01, 14:58:33"
35,877-33-4462,030-45-1969,3,"2022/06/09, 22:03:17"
36,431-25-4334,030-45-1969,2,"2022/02/01, 11:48:57"
37,431-25-4334,280-65-5827,0,"2022/02/17, 10:34:57"
38,431-25-4334,150-60-1665,3,"2022/01/30, 17:48:43"
39,574-92-3858,280-65-5827,1,"2022/03/16, 20:35:03"
40,038-37-7264,280-65-5827,4,"2022/02/20, 01:04:42"
41,877-33-4462,150-60-1665,3,"2022/02/24, 05:58:49"
42,574-92-3858,150-60-1665,0,"2022/01/10, 21:18:58"
43,877-33-4462,030-45-1969,4,"2022/01/12, 18:00:17"
44,038-37-7264,280-65-5827,4,"2022/06/18, 06:48:04"
45,877-33-4462,150-60-1665,4,"2022/04/01, 12:45:49"
46,148-49-3184,150-60-1665,4,"2022/04/30, 13:18:26"
47,574-92-3858,030-45-1969,1,"2022/02/09, 13:46:19"
48,594-87-8512,030-45-1969,4,"2022/04/13, 01:04:51"
49,574-92-3858,150-60-1665,2,"2022/06/11, 19:40:57"
50,038-37-7264,150-60-1665,3,"2022/05/16, 23:02:25"
51,431-25-4334,280-65-5827,4,"2022/06/05, 20:55:03"
52,038-37-7264,030-45-1969,3,"2022/04/30, 09:55:02"
53,898-73-3339,030-45-1969,0,"2022/06/14, 07:12:49"
54,574-92-3858,150-60-1665,2,"2022/06/17, 17:01:25"
55,488-22-2850,150-60-1665,1,"2022/01/11, 03:43:32"
56,488-22-2850,280-65-5827,3,"2022/06/04, 03:54:09"
57,154-64-9693,280-65-5827,2,"2022/05/07, 19:52:24"
58,431-25-4334,030-45-1969,4,"2022/02/24, 05:22:52"
59,488-22-2850,280-65-5827,4,"2022/03/22, 00:25:19"
60,830-11-8837,280-65-5827,0,"2022/02/23, 18:58:26"
61,148-49-3184,030-45-1969,0,"2022/06/24, 01:22:11"
62,877-33-4462,280-65-5827,3,"2022/06/15, 23:49:30"
63,574-92-3858,030-45-1969,4,"2022/05/11, 02:29:17"
64,038-37-7264,280-65-5827,3,"2022/01/07, 12:51:20"
65,574-92-3858,030-45-1969,2,"2022/01/04, 15:18:01"
66,574-92-3858,280-65-5827,0,"2022/02/08, 15:46:49"
67,488-22-2850,280-65-5827,3,"2022/03/29, 11:20:19"
68,898-73-3339,280-65-5827,1,"2022/06/03, 00:29:13"
69,154-64-9693,280-65-5827,0,"2022/04/17, 21:59:01"
70,488-22-2850,150-60-1665,3,"2022/01/16, 09:55:03"
71,488-22-2850,280-65-5827,1,"2022/03/14, 10:21:33"
72,830-11-8837,280-65-5827,4,"2022/03/21, 12:12:54"
73,830-11-8837,280-65-5827,0,"2022/04/29, 01:09:09"
74,877-33-4462,030-45-1969,0,"2022/03/15, 03:13:59"
75,574-92-3858,030-45-1969,0,"2022/04/17, 21:45:52"
76,431-25-4334,150-60-1665,3,"2022/04/05, 13:28:57"
77,038-37-7264,280-65-5827,1,"2022/01/28, 15:10:49"
78,830-11-8837,150-60-1665,0,"2022/04/27, 16:25:45"
79,148-49-3184,280-65-5827,2,"2022/01/16, 17:42:50"
80,488-22-2850,030-45-1969,2,"2022/06/24, 17:05:55"
81,038-37-7264,280-65-5827,4,"2022/01/27, 07:27:07"
82,038-37-7264,030-45-1969,2,"2022/01/15, 04:33:26"
83,148-49-3184,150-60-1665,3,"2022/05/28, 13:08:47"
84,488-22-2850,150-60-1665,1,"2022/02/16, 04:31:18"
85,154-64-9693,150-60-1665,2,"2022/01/05, 07:18:32"
86,488-22-2850,280-65-5827,0,"2022/01/30, 19:06:06"
87,877-33-4462,280-65-5827,2,"2022/05/05, 14:40:33"
88,574-92-3858,280-65-5827,0,"2022/02/04, 20:21:05"
89,038-37-7264,150-60-1665,2,"2022/05/24, 23:25:50"
90,830-11-8837,150-60-1665,4,"2022/06/08, 03:19:46"
91,877-33-4462,030-45-1969,0,"2022/04/25, 05:20:40"
92,431-25-4334,150-60-1665,2,"2022/03/01, 02:18:59"
93,830-11-8837,150-60-1665,4,"2022/05/05, 02:57:47"
94,898-73-3339,150-60-1665,2,"2022/04/25, 07:57:18"
95,830-11-8837,150-60-1665,3,"2022/06/01, 03:31:08"
96,594-87-8512,280-65-5827,3,"2022/05/14, 09:23:42"
97,830-11-8837,280-65-5827,3,"2022/01/14, 00:21:05"
98,038-37-7264,280-65-5827,1,"2022/06/20, 09:02:00"
99,877-33-4462,280-65-5827,4,"2022/06/27, 23:01:06"
100,154-64-9693,150-60-1665,0,"2022/01/08, 05:35:47"
101,574-92-3858,150-60-1665,2,"2022/01/02, 07:51:03"
102,038-37-7264,280-65-5827,4,"2022/01/16, 19:11:21"
103,148-49-3184,150-60-1665,3,"2022/06/20, 03:40:48"
104,431-25-4334,030-45-1969,4,"2022/01/15, 18:34:24"
105,898-73-3339,280-65-5827,3,"2022/05/27, 21:01:42"
106,830-11-8837,030-45-1969,1,"2022/02/27, 16:26:16"
107,830-11-8837,030-45-1969,4,"2022/06/08, 10:30:43"
108,431-25-4334,030-45-1969,3,"2022/05/07, 04:54:53"
109,154-64-9693,030-45-1969,1,"2022/05/01, 22:34:02"
110,877-33-4462,030-45-1969,1,"2022/02/08, 15:45:09"
111,830-11-8837,030-45-1969,1,"2022/04/12, 03:37:01"
112,154-64-9693,030-45-1969,3,"2022/06/05, 07:12:19"
113,594-87-8512,280-65-5827,2,"2022/03/15, 08:59:10"
114,431-25-4334,150-60-1665,0,"2022/03/12, 17:36:37"
115,898-73-3339,030-45-1969,3,"2022/01/17, 15:58:25"
116,877-33-4462,150-60-1665,0,"2022/04/20, 17:21:16"
117,148-49-3184,030-45-1969,2,"2022/05/11, 13:22:45"
118,574-92-3858,030-45-1969,2,"2022/06/09, 00:08:46"
